Column 1,est. Price,Choice A,Choice B,Choice C,,Column 1,Column 2,Column 3,Column 4
GPS,17,adafruit,Amazon,https://a.co/d/09UVc4Y8,,Balloon,65,Kaymont,
antenna,,,,amazon,,Helium,250,,
altitude thing/temp,15,https://a.co/d/09kdD5lb,amazon,adafruit,,misc,,,
Parachute,50,Rocketman,,,,"Possible to decrease by smaller balloon, est cost 280",,,
LoRa,50,https://a.co/d/0gnVuC6W,https://lilygo.cc/en-us/products/lora3?variant=51248229253301,BUY ANTENNA TOO,,,315,,
SD card,15,https://a.co/d/02DpJRoq,,,,,,,
Payload box,15,buy it local or amazon.,,,,,,,
Misc items,10,,,,,,,,
Insluation,10,,,,,,,,
wiring,10,,,,,,,,
cameras x3,45,,,,,,,,
perma proto board,10,,,,,,,,
Final price,247,GOAL PRICE 650$,,562, ,,,,
,,,,,,,,,
program: Visual studio,,,,,,,,,
https://github.com/whitehole07/weather-balloon-model ,,,,,,,,,
geiger log,https://sourceforge.net/projects/geigerlog/ ,,,,,,,,
,,,,,,,,,
VScode ,,,,,,,,,
,,,,,,,,,
https://forums.adafruit.com/viewtopic.php?t=223436 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
LoRa,https://www.daveakerman.com/?p=2828 ,,,,,,,,
,,,,,,,,,
Muon detector -200,http://cosmicwatch.lns.mit.edu/detector#how ,,,,,,,,
