Column 1,est. Price,Choice A,Choice B,Choice C,,Column 1,Column 2,Column 3,Column 4
GPS,17,https://a.co/d/09UVc4Y8,Amazon,,,Balloon,65,Kaymont,
antenna,,Included but you can purchase one for better preformance,,,,Helium,250,Local,
altitude thing/temp,15,https://a.co/d/09kdD5lb,amazon,adafruit,,misc,,,
Parachute,50,Rocketman,,,,"Possible to decrease by smaller balloon, est cost 280",,,
LoRa,50,https://a.co/d/0gnVuC6W,https://lilygo.cc/en-us/products/lora3?variant=51248229253301,BUY ANTENNA TOO,,,315,,
SD card,15,https://a.co/d/02DpJRoq,,,,,,,
Payload box,15,buy it local or amazon.,,,,,,,
Misc items,10,Extra budget ,,,,,,,
Insluation,10,Homedepot,,,,,,,
wiring,10,Microcenter,,,,,,,
cameras x3,45,https://www.raspberrypi.com/products/camera-module-v2/,,,,,,,
perma proto board,10,Microcenter,,,,,,,
Final price,247,,,562, ,,,,
